org_uuid,founded_on,founded_year,success_label_5y,success_label_10y,org_name,outcome_type,city,founder_count,founder_gender_diversity,has_top_school_founder,num_optimal_degrees,optimal_degree_ratio,is_repeat_founder,founder_gender_missing,founder_degree_missing,founder_school_missing,founder_desc_missing,age_at_first_funding,first_funding_delay,early_series_count,avg_time_to_early_round_months,avg_time_between_rounds,burn_rate,has_funding_data,num_disclosed_rounds,has_disclosed_funding,funding_velocity,first_funding_amount_bucket,is_startup_hub,cohort_funding_density,investor_count,has_known_investor,merge_date,gdp_growth_avg_15m,gdp_growth_delta_3m,interest_rate_fed_funds_avg_15m,interest_rate_fed_funds_delta_3m,fed_funds_rate_latest,yield_curve_10y_2y_avg_15m,yield_curve_inversion_flag,unemployment_rate_avg_15m,cpi_inflation_avg_15m,consumer_sentiment_avg_15m,consumer_sentiment_z_latest,vix_index_max_15m,vix_spike_flag,vix_latest,sp500_price_change_3m,sp500_volatility_3m,sp500_momentum_latest,org_desc_sentiment_finbert,founder_desc_sentiment_finbert,org_desc_sim_exemplar,founder_desc_sim_exemplar,llm_founder_score,llm_outlook_align_score_avg,llm_outlook_align_score_binned,industry_outlook_sentiment_finbert,industry_timing_sentiment_finbert,avg_etf_return_3m,avg_etf_volatility_3m,avg_etf_momentum_latest,avg_etf_golden_cross_flag,avg_etf_ma50_to_price_ratio,industry_Life_Sciences,industry_Fintech,industry_Consumer_Goods,industry_Technology,industry_Cleantech,industry_Transportation,industry_Media_Entertainment_Gaming,industry_Telecom,industry_Real_Estate,Episode,Agent
6c1bfe3e-3f02-e144-ef78-cafefe0c69cb,2017-02-01,2017,True,True,Boost,acquisition,New York,1,0.0,True,0,0.0,False,False,True,False,False,7.9,7.9,2.0,13.433333333333334,11.066666666666665,241212.6537785589,True,2,True,0.4,$2M-10M,True,1295,7.0,True,2017-02-01,2.15,0.2999999999999998,0.519375,0.2500000000000001,0.91,1.035209645854872,0,4.7625,241.382875,93.49375,1.0030543245682904,22.53134328358209,0,10.857942386831276,28.49074980284149,0.0188992122497881,213.1926289496232,0,0,0.381665050983428,0.553135633468627,3.0,4.0,0.0,-0.8685508035123349,-0.8032601475715638,0.0009707720049561,0.0081691122277933,0.0435058565007834,0.0,0.9434909441309584,0,1,0,0,0,0,0,0,0,10.0,Agent A
1c9131c0-fa46-4ddb-aa5b-acd739ac5546,2017-01-01,2017,True,True,Clumio,acquisition,Santa Clara,1,0.0,False,1,1.0,False,False,False,True,False,,,,,,,False,0,False,,,False,62,,False,2017-01-01,2.15,0.2999999999999998,0.48375,0.25,0.9,1.0467271757545633,0,4.7875,240.985875,93.175,1.0996404799201691,23.70640625,0,13.1460663507109,29.47186987585701,0.0198553175781501,206.68882233227305,0,0,0.360055118799209,0.446154832839965,4.0,4.0,0.0,-0.8806372284889222,-0.5486037582159042,0.0008199037276858,0.0083482123631562,0.0025721060992023,1.0,0.9852553362006536,0,0,0,1,0,0,0,0,0,10.0,Agent A
adfc1ca8-bbb8-4bfa-9425-13824836dd1e,2017-01-01,2017,False,False,Workr Beeing,still_active,Los Angeles,1,0.0,False,0,0.0,False,False,True,True,False,,,,,,,False,0,False,,,True,569,,False,2017-01-01,2.15,0.2999999999999998,0.48375,0.25,0.9,1.0467271757545633,0,4.7875,240.985875,93.175,1.0996404799201691,23.70640625,0,13.1460663507109,29.47186987585701,0.0198553175781501,206.68882233227305,0,0,0.229635506868362,0.351605892181396,3.0,4.0,0.0,0.0003469213843345,-0.8213961049914362,0.0002621292459655,0.0090451022122649,-0.0081518065801324,1.0,0.9950431744443832,1,0,0,0,0,0,0,0,0,10.0,Agent A
51988959-eff4-4e34-be38-e6002f5f165b,2017-07-01,2017,False,False,Mī Mix,closed,Denver,1,0.0,False,0,0.0,False,False,True,True,False,,,,,,,False,0,False,,,False,203,,False,2017-07-01,2.65,1.399999999999999,0.75625,0.0,1.15,0.9910124001306784,0,4.5625,243.4118125,94.8125,1.601593706321386,15.224094827586208,0,10.122921810699587,100.3946090323716,0.0125871619057963,234.344170428933,0,0,0.31713181734085,0.308910578489303,3.0,4.0,0.0,-0.4804291129112245,-0.5447285920381546,0.0005935055250228,0.006186612476789,0.0118736128034711,1.0,0.984245804507889,0,0,1,0,0,0,0,0,0,10.0,Agent A
5c95886c-77e9-4f1e-a30c-44c61453b0f1,2017-01-01,2017,True,True,Melon,acquisition,Chicago,1,0.0,False,1,1.0,False,False,False,True,False,,,,,,,False,0,False,,,False,323,,False,2017-01-01,2.15,0.2999999999999998,0.48375,0.25,0.9,1.0467271757545633,0,4.7875,240.985875,93.175,1.0996404799201691,23.70640625,0,13.1460663507109,29.47186987585701,0.0198553175781501,206.68882233227305,0,0,0.377754867076873,0.5208196043968201,4.0,4.0,0.0,-0.4804291129112245,-0.5447285920381546,0.0006686255984473,0.0081406414164842,0.0048397978598748,1.0,0.9842883571324486,0,0,1,1,0,0,0,0,0,10.0,Agent A
d6c13fcd-bceb-461c-ad14-395f421cbfd5,2018-01-01,2018,False,False,Beverly Bond PR,still_active,West Hollywood,1,0.0,False,0,0.0,False,False,True,True,False,,,,,,,False,0,False,,,False,32,,False,2018-01-01,3.01875,-1.1999999999999995,1.1281249999999998,0.28,1.69,0.8415508241430822,0,4.275,246.22775,97.3,0.6911146069526982,22.45042857142857,0,18.274956896551725,-52.26855912733117,0.0188814960606611,139.36242493350665,0,0,0.295049667358398,0.313503473997116,3.0,3.5,0.0,-0.823867157101631,-0.8678021356463432,0.0003504507502726,0.0087616510343919,-0.0176326767021511,0.5,1.0106305029949083,0,0,0,1,0,0,1,0,0,10.0,Agent A
cac4efeb-91fb-4f30-9dcb-7e915e13b4d2,2018-06-01,2018,True,True,Mavely,acquisition,Chicago,2,0.0,False,1,0.5,False,False,False,True,False,14.866666666666667,14.866666666666667,1.0,14.866666666666667,,67264.57399103139,True,1,True,0.2,$500K-2M,False,306,2.0,False,2018-06-01,3.0875,0.3999999999999999,1.464375,0.1299999999999999,1.95,0.5882151570868822,0,4.0625,248.55,97.5875,1.106656396125837,22.45042857142857,0,12.910047393364929,108.88677290856732,0.0185840688685805,244.6599887760503,1,1,0.364066302776336,0.55965232849121,5.0,4.0,0.0,-0.9165293648839,-0.7366015613079071,0.0008256448330185,0.0073222841956916,0.0226323863015083,1.0,0.9725154918744924,0,0,1,0,0,0,0,0,0,10.0,Agent A
e5f2e2b8-4d5d-4eec-979f-69fb4742466b,2018-01-01,2018,True,True,Brand Engagement Network,ipo,Jackson,1,0.0,False,0,0.0,False,False,True,True,False,,,,,,,False,0,False,,,False,21,,False,2018-01-01,3.01875,-1.1999999999999995,1.1281249999999998,0.28,1.69,0.8415508241430822,0,4.275,246.22775,97.3,0.6911146069526982,22.45042857142857,0,18.274956896551725,-52.26855912733117,0.0188814960606611,139.36242493350665,0,0,0.434599936008453,0.455714762210845,2.0,4.0,0.0,-0.9280067346990108,-0.8575281500816346,0.0010103261342834,0.0082565009208854,-0.0255916725980524,1.0,1.0158311882881537,0,0,0,1,0,0,0,0,0,10.0,Agent A
9e1f1574-bb8d-4572-a242-f086a7db2554,2018-01-01,2018,True,True,Bare Knuckle Fighting Championship,acquisition,Broomall,1,0.0,False,0,0.0,False,False,True,True,False,,,,,,,False,0,False,,,False,1,,False,2018-01-01,3.01875,-1.1999999999999995,1.1281249999999998,0.28,1.69,0.8415508241430822,0,4.275,246.22775,97.3,0.6911146069526982,22.45042857142857,0,18.274956896551725,-52.26855912733117,0.0188814960606611,139.36242493350665,0,0,0.029115824028849,0.3561552464962,3.0,4.0,0.0,-0.823867157101631,-0.8678021356463432,-0.0003094246337382,0.0092668011478984,-0.0096736808062498,0.0,1.005429817701663,0,0,0,0,0,0,1,0,0,10.0,Agent A
be80369f-a83a-4eda-914c-719b0d1bcd37,2018-01-01,2018,False,False,Locl,still_active,Portland,1,0.0,False,0,0.0,False,False,True,True,False,26.633333333333333,26.633333333333333,1.0,26.633333333333333,,18773.466833541926,True,1,True,0.2,$100K-500K,False,80,,False,2018-01-01,3.01875,-1.1999999999999995,1.1281249999999998,0.28,1.69,0.8415508241430822,0,4.275,246.22775,97.3,0.6911146069526982,22.45042857142857,0,18.274956896551725,-52.26855912733117,0.0188814960606611,139.36242493350665,0,0,0.487975925207138,0.394273370504379,2.0,4.0,0.0,-0.9280067346990108,-0.8575281500816346,0.0010103261342834,0.0082565009208854,-0.0255916725980524,1.0,1.0158311882881537,0,0,0,1,0,0,0,0,0,10.0,Agent A
